time_step,score_mean,score_plus_std,score_minus_std, 0_mean, 0_plus_std, 0_minus_std,exit_rate_mean,exit_rate_plus_std,exit_rate_minus_std
315000,-0.132530120481928,0.580254883096055,-0.84531512405991,0,0,0,0,0,0
320000,-0.104790419161677,0.668899183708631,-0.878480022031984,0.00598802395209581,0.0832540701702479,0,0.00149700598802395,0.020813517542562,0
325000,-0.124260355029586,0.639886276479938,-0.888406986539109,0,0,0,0,0,0
330000,-0.0382165605095541,0.684622626096239,-0.761055747115347,0,0,0,0,0,0
335000,-0.136498516320475,0.622810905694614,-0.895807938335563,0.0029673590504451,0.0574408301207294,0,0.000741839762611276,0.0143602075301824,0
340000,-0.150602409638554,0.603980525762857,-0.905185345039965,0,0,0,0,0,0
345000,-0.197014925373134,0.497266711136525,-0.891296561882794,0,0,0,0,0,0
350000,-0.190201729106628,0.553649143741864,-0.934052601955121,0.00288184438040346,0.0565646570899054,0,0.000720461095100865,0.0141411642724763,0
355000,-0.115625,0.585296639129958,-0.816546639129958,0,0,0,0,0,0
360000,-0.148148148148148,0.544334460833976,-0.840630757130273,0.00308641975308642,0.0586419753086419,0,0.000771604938271605,0.0146604938271605,0
365000,-0.172727272727273,0.561073561283959,-0.906528106738504,0,0,0,0,0,0
370000,-0.0965732087227414,0.628009064318067,-0.82115548176355,0,0,0,0,0,0
375000,-0.0456026058631922,0.614565632542537,-0.705770844268921,0,0,0,0,0,0
380000,0.0192307692307692,0.76697037559223,-0.728508837130692,0,0,0,0,0,0
385000,0.0864197530864198,0.888082589407288,-0.715243083234449,0.00308641975308642,0.0586419753086419,0,0.000771604938271605,0.0146604938271605,0
390000,0.21160409556314,0.958470944002832,-0.535262752876552,0,0,0,0,0,0
395000,0.204081632653061,0.960747351698276,-0.552584086392154,0,0,0,0,0,0
400000,0.215946843853821,1.01378445295629,-0.581890765248645,0.00332225913621262,0.0609613009066361,0,0.000830564784053156,0.015240325226659,0
405000,0.145569620253165,0.987532175444298,-0.696392934937968,0.00632911392405063,0.0857584630268534,0,0.00158227848101266,0.0214396157567134,0
410000,0.177049180327869,0.980903678041474,-0.626805317385736,0,0,0,0,0,0
415000,0.185064935064935,0.99713050161055,-0.62700063148068,0,0,0,0,0,0
420000,0.125391849529781,0.947615261797875,-0.696831562738314,0.00313479623824451,0.05912404733383,0,0.000783699059561129,0.0147810118334575,0
425000,0.105769230769231,0.938209596592211,-0.726671135053749,0.00320512820512821,0.059818979912358,0,0.000801282051282051,0.0149547449780895,0
430000,0.244897959183673,0.993884411848663,-0.504088493481316,0.0170068027210884,0.146523704860976,0,0.00425170068027211,0.036630926215244,0
435000,0.218120805369128,0.980939757043568,-0.544698146305313,0.00335570469798658,0.0612841493343358,0,0.000838926174496644,0.015321037333584,0
440000,0.258389261744966,1.04784849542024,-0.531069971930303,0.00335570469798658,0.0612841493343358,0,0.000838926174496644,0.015321037333584,0
445000,0.208469055374593,1.02227553229797,-0.605337421548783,0.00651465798045603,0.0870960965906828,0,0.00162866449511401,0.0217740241476707,0
450000,0.22742474916388,0.988330067107812,-0.533480568780053,0.00668896321070234,0.0883377049366562,0,0.00167224080267559,0.0220844262341641,0
455000,0.174050632911392,1.00103063341787,-0.652929367595085,0.00632911392405063,0.0857584630268534,0,0.00158227848101266,0.0214396157567133,0
460000,0.262626262626263,1.04138816877609,-0.516135643523561,0.00336700336700337,0.0613928886855693,0,0.000841750841750842,0.0153482221713923,0
465000,0.307432432432432,1.09509933408663,-0.480234469221764,0,0,0,0,0,0
470000,0.305555555555556,1.09554323047179,-0.484432119360674,0,0,0,0,0,0
475000,0.325423728813559,1.12244053492931,-0.471593077302188,0.00338983050847458,0.0616120814824328,0,0.000847457627118644,0.0154030203706082,0
480000,0.319727891156463,1.14166595346031,-0.502210171147381,0.0102040816326531,0.110873983779722,0,0.00255102040816327,0.0277184959449306,0
485000,0.336734693877551,1.16635540845441,-0.492886020699312,0.0102040816326531,0.110873983779722,0,0.00255102040816327,0.0277184959449306,0
490000,0.337931034482759,1.13776397253377,-0.461901903568253,0.0172413793103448,0.147635950909738,0,0.00431034482758621,0.0369089877274344,0
495000,0.492857142857143,1.30049477560275,-0.314780489888467,0.0357142857142857,0.221623435520224,0,0.00892857142857143,0.055405858880056,0
500000,0.417808219178082,1.31267213837703,-0.477055700020867,0.0273972602739726,0.190915515061704,0,0.00684931506849315,0.0477288787654261,0
505000,0.443333333333333,1.37948332750852,-0.492816660841854,0.0233333333333333,0.174545455560965,0,0.00583333333333333,0.0436363638902412,0
